application_id,customer_id,application_date,loan_type,loan_amount_requested,loan_tenure_months,interest_rate_offered,purpose_of_loan,employment_status,monthly_income,cibil_score,existing_emis_monthly,debt_to_income_ratio,property_ownership_status,residential_address,applicant_age,gender,number_of_dependents,loan_status,fraud_flag,fraud_type
a01a58c8-5ad6-4546-8b55-c18fdeecc31a,CUST116569,2023-09-04,Home Loan,104000.0,120,8.29,Education,Retired,92200.0,614,3300.0,3.58,Owned,"55/20, Luthra Chowk, Bhiwandi-298642, Unnao, Tamil Nadu, 920121",54,Other,3,Declined,0,
42d20fdb-989b-4897-b199-63850059da90,CUST104634,2023-10-08,Personal Loan,769000.0,360,9.83,Medical Emergency,Self-Employed,33000.0,614,6200.0,18.79,Jointly Owned,"980, Sankar Zila, Motihari-372932, Thane, Rajasthan, 213787",50,Female,0,Declined,0,
5c9d9caf-9116-48ed-b7fb-50dee1b6b614,CUST102498,2024-02-14,Car Loan,260000.0,36,13.53,Education,Unemployed,69800.0,672,1300.0,1.86,Jointly Owned,"51/51, Mani Road, Thane-746723, Nagaon, Nagaland, 188210",25,Male,3,Approved,0,
e1ec98db-8a53-4ca7-8686-d75b1174ecb0,CUST119136,2023-04-23,Home Loan,701000.0,120,10.39,Home Renovation,Business Owner,37800.0,704,600.0,1.59,Rented,"H.No. 11, Bora Zila, Kanpur-781623, Jaipur, Nagaland, 253819",63,Other,0,Approved,0,
54e0f584-324f-43e0-8d6a-4508d3062712,CUST115286,2023-02-15,Car Loan,269000.0,24,11.71,Business Expansion,Retired,50000.0,568,1600.0,3.2,Owned,"H.No. 246, Mangal Path, Aurangabad 592356, Jamnagar, West Bengal, 913456",30,Female,0,Declined,0,
cf168818-1140-47df-bc27-8115770d2753,CUST106309,2022-08-03,Car Loan,372000.0,60,12.22,Vehicle Purchase,Unemployed,50700.0,692,5100.0,10.06,Rented,"79, Dhawan Chowk, Kishanganj-333274, Bhubaneswar, Goa, 647719",21,Other,1,Approved,0,
5374c7d4-9df2-4c44-bf74-c0ca35bbbb87,CUST102665,2022-11-21,Car Loan,1088000.0,360,12.32,Debt Consolidation,Unemployed,15800.0,590,1300.0,8.23,Jointly Owned,"70/49, Sodhi, Vijayawada 060539, Tirupati, Haryana, 845129",42,Female,3,Declined,0,
9e610735-a602-4e1b-a984-e22de9cf604c,CUST104650,2023-08-07,Business Loan,629000.0,240,10.95,Vehicle Purchase,Student,43800.0,704,1800.0,4.11,Jointly Owned,"81/91, Garg Zila, Vasai-Virar-509917, Mirzapur, Maharashtra, 951735",48,Male,2,Approved,0,
c2edbd6b-18c1-49cc-9b2e-51172c521dbf,CUST109205,2024-01-29,Personal Loan,551000.0,360,9.47,Debt Consolidation,Retired,10000.0,607,3400.0,34.0,Rented,"802, Devan Path, Shahjahanpur-444793, Bulandshahr, Bihar, 036507",61,Other,3,Declined,0,
bf2d4cce-3476-458e-9450-22308a991f52,CUST115879,2024-08-26,Car Loan,752000.0,120,10.5,Vehicle Purchase,Business Owner,72500.0,717,6900.0,9.52,Jointly Owned,"05, Bandi Zila, Amravati 390447, Danapur, Rajasthan, 850166",59,Male,1,Approved,0,
