application_id,customer_id,application_date,loan_type,loan_amount_requested,loan_tenure_months,interest_rate_offered,purpose_of_loan,employment_status,monthly_income,cibil_score,existing_emis_monthly,debt_to_income_ratio,property_ownership_status,residential_address,applicant_age,gender,number_of_dependents,loan_status,fraud_flag,fraud_type
fc081312-2bc0-4d2d-a5b7-eaf77ee6a779,CUST106640,2024-05-04,Home Loan,951000.0,360,7.0,Medical Emergency,Student,22500.0,710,4300.0,19.11,Owned,"H.No. 14, Chana Street, Kadapa-739776, Fatehpur, Meghalaya, 100030",54,Female,4,Approved,0,
8a6f2a48-70c2-4458-8700-210996f9e328,CUST111581,2023-04-19,Business Loan,233000.0,120,11.89,Wedding,Student,61500.0,627,3600.0,5.85,Rented,"690, Dara Nagar, Ranchi 898726, North Dumdum, West Bengal, 234165",36,Other,3,Declined,0,
8b4982a4-7892-4de4-962c-7bbe12eb292a,CUST114289,2024-03-05,Home Loan,899000.0,240,11.28,Wedding,Retired,82000.0,815,3400.0,4.15,Owned,"H.No. 35, Kanda Street, Jammu-400633, Sikar, Chhattisgarh, 736686",24,Other,4,Approved,0,
99e17ce5-7092-41b2-b056-5e98036593d4,CUST103218,2023-09-10,Education Loan,100000.0,60,11.57,Debt Consolidation,Unemployed,31600.0,744,400.0,1.27,Jointly Owned,"H.No. 802, Kumer Circle, Bellary 377211, Coimbatore, Nagaland, 175309",42,Other,1,Approved,0,
52ba6134-de2e-41ea-99d2-0acdfe504bdd,CUST104974,2025-01-02,Education Loan,483000.0,24,9.68,Wedding,Salaried,13200.0,687,4600.0,34.85,Owned,"34, Mann Zila, Panvel 682805, Mahbubnagar, Telangana, 062592",59,Other,3,Approved,0,
a9cb5af6-a967-43df-ae20-cca60a7f6dd3,CUST113582,2024-12-10,Business Loan,283000.0,240,9.13,Home Renovation,Unemployed,10000.0,759,3600.0,36.0,Jointly Owned,"82, Vasa Street, Jalna-132586, Deoghar, Odisha, 062951",34,Male,0,Approved,0,
1162ccad-09a7-4a36-9b3c-fbfc4564260c,CUST118547,2023-12-28,Home Loan,276000.0,60,12.19,Debt Consolidation,Self-Employed,89200.0,673,2700.0,3.03,Owned,"001, Swaminathan Ganj, Solapur-816571, Loni, Uttarakhand, 163388",49,Other,3,Approved,0,
5bf5845a-c532-4385-8565-10042b43ae96,CUST118008,2024-06-28,Car Loan,544000.0,12,11.62,Home Renovation,Self-Employed,39200.0,701,0.0,0.0,Jointly Owned,"H.No. 493, Karpe Marg, Mahbubnagar 833035, Jamnagar, Arunachal Pradesh, 601508",64,Other,1,Approved,0,
8b806ac1-35d3-42c6-a607-81511e5901ac,CUST118877,2024-12-21,Personal Loan,995000.0,240,8.36,Wedding,Business Owner,21700.0,750,3100.0,14.29,Jointly Owned,"H.No. 917, Sur Marg, Noida-770272, Nagaon, Arunachal Pradesh, 635878",25,Other,1,Approved,0,
ac2ff43d-5c67-4a86-884f-38b5c60e8cc0,CUST105924,2024-02-10,Personal Loan,786000.0,360,7.77,Business Expansion,Business Owner,10000.0,689,0.0,0.0,Rented,"H.No. 926, Bumb Marg, Erode 246341, Morena, Tamil Nadu, 177692",35,Other,3,Approved,0,
ab0ad248-8e8a-41ea-b6e4-05c43662a579,CUST118406,2022-09-15,Home Loan,318000.0,60,11.33,Medical Emergency,Retired,83100.0,734,1200.0,1.44,Owned,"93, Handa Chowk, Guna 517042, Begusarai, Mizoram, 674075",23,Other,2,Approved,0,
daed5cad-fd55-4c47-8eae-424901a0d385,CUST117149,2023-09-18,Personal Loan,525000.0,12,12.52,Vehicle Purchase,Salaried,72800.0,761,3800.0,5.22,Jointly Owned,"10/43, Ravel Path, Gwalior 210049, Jehanabad, Uttar Pradesh, 936040",62,Female,2,Approved,0,
5979d667-c2cc-4bb7-a729-8008d0be2634,CUST114161,2023-11-24,Personal Loan,441000.0,360,12.78,Education,Business Owner,42200.0,675,600.0,1.42,Owned,"H.No. 65, Lall Street, Moradabad-347869, Ballia, Chhattisgarh, 805269",35,Male,4,Approved,0,
8f967f83-1bd3-43d6-9223-7a003490df37,CUST119542,2024-12-16,Home Loan,682000.0,12,10.0,Education,Business Owner,71200.0,658,2300.0,3.23,Jointly Owned,"709, Sant Zila, Bardhaman 423832, Ajmer, Sikkim, 210278",33,Female,0,Approved,0,
fdf0061d-2481-4104-871e-40b158d8e9f0,CUST114472,2023-07-13,Education Loan,936000.0,120,13.37,Home Renovation,Retired,13100.0,632,4600.0,35.11,Owned,"38/368, Ravel Nagar, Bhind-834550, Navi Mumbai, Madhya Pradesh, 132261",32,Female,4,Declined,0,
8a01f66f-b193-4d37-9996-5cc29094d80e,CUST106285,2024-11-22,Education Loan,100000.0,360,11.32,Medical Emergency,Retired,34600.0,578,4700.0,13.58,Owned,"H.No. 89, Saini, Panihati-038816, Nandyal, West Bengal, 794220",34,Male,2,Declined,0,
26c46585-d918-418b-a960-b6dec3ab61d7,CUST100357,2024-09-30,Car Loan,847000.0,120,11.98,Education,Salaried,42800.0,781,800.0,1.87,Jointly Owned,"68/538, Bail, Gulbarga-215285, Bhusawal, Meghalaya, 251538",57,Male,4,Approved,0,
861435dc-302d-413e-8fac-316602272986,CUST106999,2024-08-16,Personal Loan,331000.0,24,9.0,Debt Consolidation,Student,60000.0,633,200.0,0.33,Rented,"839, Chopra Zila, Ahmedabad-049184, Baranagar, Himachal Pradesh, 235381",51,Male,2,Declined,0,
6fcf71ee-1111-41d9-9efb-e1bed6a69ab9,CUST114517,2025-03-21,Personal Loan,454000.0,24,11.84,Business Expansion,Retired,38400.0,728,3300.0,8.59,Jointly Owned,"35, Dixit Circle, Panchkula 782759, Meerut, Himachal Pradesh, 125771",47,Female,1,Approved,0,
656f4a07-f082-4196-87c9-fd44cc9cf350,CUST102388,2023-06-20,Education Loan,197000.0,120,10.27,Debt Consolidation,Student,72300.0,615,2500.0,3.46,Jointly Owned,"731, Jhaveri, Avadi-698120, Chinsurah, Meghalaya, 267156",52,Female,4,Declined,0,
999f4ece-c9ba-43e0-9356-df18ba20dda5,CUST104233,2025-02-02,Business Loan,623000.0,360,8.23,Medical Emergency,Business Owner,62600.0,615,500.0,0.8,Rented,"58/485, Chander, Jamshedpur-870425, Khammam, Nagaland, 097872",61,Male,2,Declined,0,
33048bec-fc05-4615-8a0e-ee14e67443f2,CUST111397,2025-03-30,Personal Loan,325000.0,120,8.29,Debt Consolidation,Business Owner,29900.0,699,2100.0,7.02,Rented,"135, Mahal Ganj, Berhampur-168595, Anantapuram, Arunachal Pradesh, 954132",22,Other,4,Approved,0,
3d113bb7-0915-4a6d-ae5b-093e2c71f202,CUST117990,2025-05-24,Home Loan,588000.0,240,8.71,Vehicle Purchase,Salaried,73600.0,720,3200.0,4.35,Owned,"723, Char Zila, Silchar 762520, Eluru, Bihar, 872285",34,Female,2,Approved,0,
99a998ce-7fb3-4c87-b88c-ee638f02764f,CUST102052,2023-02-07,Car Loan,356000.0,360,8.13,Education,Business Owner,33500.0,724,5200.0,15.52,Owned,"05/487, Lanka Road, Vadodara-662300, Katni, Andhra Pradesh, 461501",25,Female,3,Approved,0,
7da25936-8485-4a4c-8561-16429ac1cba6,CUST104622,2023-11-19,Business Loan,467000.0,60,9.65,Business Expansion,Unemployed,27800.0,710,4300.0,15.47,Rented,"06, Agate Path, Phusro 941814, Warangal, Meghalaya, 182438",62,Male,2,Approved,0,
c85e2022-6a7f-43cc-a45a-a7a6d10c32c5,CUST103333,2024-08-30,Education Loan,860000.0,12,8.21,Medical Emergency,Unemployed,64400.0,716,1900.0,2.95,Owned,"H.No. 325, Lal Circle, Panchkula-129270, Dindigul, Tripura, 661211",24,Female,0,Approved,0,
44793bc9-78ce-4891-8326-ca7a42ca9f0e,CUST116688,2024-01-27,Education Loan,887000.0,12,12.34,Debt Consolidation,Self-Employed,59000.0,767,1200.0,2.03,Jointly Owned,"H.No. 87, Walia Chowk, Bahraich 071571, Hajipur, Manipur, 023371",36,Male,2,Approved,0,
32a65c42-2c3f-4266-90b9-52bfd9fef55f,CUST100031,2023-11-29,Car Loan,354000.0,24,10.64,Home Renovation,Unemployed,96300.0,697,0.0,0.0,Rented,"67/17, Jayaraman Path, Pondicherry 256746, Malda, Assam, 451680",48,Other,2,Approved,0,
0ca3f84d-1b7d-4b70-b9c3-229c5cfcba8f,CUST105755,2023-12-13,Business Loan,706000.0,60,9.58,Business Expansion,Salaried,23900.0,725,4800.0,20.08,Owned,"29, Rastogi, Mau 595756, Bally, Maharashtra, 926148",25,Female,3,Approved,0,
b55d9226-0c49-46f6-8b13-82c60edd8b5e,CUST110670,2023-06-30,Education Loan,141000.0,36,10.08,Education,Self-Employed,69500.0,823,2200.0,3.17,Rented,"87/972, Kunda Nagar, Rajpur Sonarpur 140888, Bulandshahr, West Bengal, 815976",39,Female,0,Approved,0,
1eec79b8-6316-457b-a66a-a9a975380152,CUST112318,2023-09-30,Education Loan,420000.0,240,8.85,Debt Consolidation,Business Owner,79200.0,690,6900.0,8.71,Rented,"86/32, Bhatnagar Marg, Motihari-009170, Kadapa, Tamil Nadu, 070068",45,Male,4,Approved,0,
9fd96862-5380-4ee7-9f20-8c8f06008f51,CUST110387,2022-10-11,Education Loan,395000.0,12,11.37,Business Expansion,Student,39700.0,714,2900.0,7.3,Jointly Owned,"283, Bhagat Path, Junagadh-166888, Mira-Bhayandar, Chhattisgarh, 044570",61,Other,4,Approved,0,
fbae10d2-05cc-48f7-b9ca-833fbf59361d,CUST107198,2024-11-02,Home Loan,956000.0,36,14.23,Vehicle Purchase,Salaried,94400.0,634,500.0,0.53,Owned,"320, Bal Marg, Rajpur Sonarpur 637896, Pondicherry, Odisha, 683345",43,Male,4,Declined,0,
3e3393f9-f57c-42f9-91c5-2da1ff7b3177,CUST105931,2022-09-26,Home Loan,235000.0,12,11.5,Medical Emergency,Business Owner,30100.0,639,4000.0,13.29,Owned,"52/40, Bose Marg, Imphal 480682, Dindigul, Tamil Nadu, 486235",31,Other,3,Declined,0,
b66fc9cc-7ffb-4eab-a1ee-df480cfcf67e,CUST109367,2022-08-08,Car Loan,542000.0,60,7.0,Vehicle Purchase,Business Owner,83400.0,717,1300.0,1.56,Rented,"H.No. 15, Dua Marg, Jamshedpur-676053, Vasai-Virar, Uttar Pradesh, 751525",27,Other,1,Approved,0,
3577ed25-6ba1-435e-904a-4bc3c541fdce,CUST107137,2023-11-25,Home Loan,784000.0,12,8.11,Home Renovation,Retired,34700.0,650,1600.0,4.61,Rented,"H.No. 603, Sama Street, Vasai-Virar-315692, Bijapur, Maharashtra, 773924",58,Male,4,Declined,0,
c5fd3e67-cf05-4f68-885d-0e03fb8a2168,CUST106332,2023-03-01,Car Loan,651000.0,360,9.82,Vehicle Purchase,Unemployed,38900.0,728,6200.0,15.94,Rented,"315, Sur Road, Proddatur-482689, Vadodara, Jharkhand, 812762",32,Male,1,Approved,0,
e28c10b1-2614-47b1-8efe-bbdb470aceee,CUST115050,2022-07-11,Home Loan,699000.0,60,9.37,Debt Consolidation,Unemployed,47000.0,711,3000.0,6.38,Jointly Owned,"H.No. 01, Mannan Nagar, Bardhaman-320492, Dhanbad, Karnataka, 435588",65,Female,3,Approved,0,
89aa0c07-55bc-4f75-a6eb-80c178864bdf,CUST102565,2022-09-18,Business Loan,562000.0,12,8.14,Wedding,Unemployed,39800.0,747,7400.0,18.59,Rented,"03/50, Sengupta Ganj, Warangal 628958, Panipat, Chhattisgarh, 851168",35,Male,2,Approved,0,
dc379b97-2a6c-43d9-89cc-e92083651011,CUST100099,2022-11-08,Home Loan,410000.0,60,10.92,Business Expansion,Salaried,44100.0,659,1400.0,3.17,Jointly Owned,"H.No. 125, Garg Road, Tiruppur 571775, Dewas, Arunachal Pradesh, 051238",40,Other,1,Approved,0,
e7c5b3c5-e59b-4cb3-953b-f0c2cd9b970e,CUST100276,2022-08-23,Personal Loan,873000.0,360,12.8,Education,Salaried,55000.0,691,5200.0,9.45,Owned,"620, Deep Road, Tadipatri-359710, Guntur, West Bengal, 636694",28,Female,1,Approved,0,
62102086-0108-4cd3-9f14-89b959ccdc0f,CUST113316,2023-08-09,Home Loan,920000.0,60,9.71,Vehicle Purchase,Retired,108300.0,695,2400.0,2.22,Jointly Owned,"H.No. 482, Mandal, Pali-371560, Shivpuri, Karnataka, 513522",23,Female,2,Fraudulent - Undetected,1,Income Misrepresentation
73ff2c91-c762-4f5e-ab57-6959996305d6,CUST104659,2023-02-27,Home Loan,809000.0,60,9.01,Wedding,Retired,29900.0,712,4400.0,14.72,Owned,"H.No. 88, Karan Marg, Danapur-959349, Varanasi, Punjab, 824904",63,Male,1,Approved,0,
40eccf55-0e66-4e70-9997-c0c808dfaf0e,CUST116707,2025-05-14,Education Loan,589000.0,120,12.27,Business Expansion,Salaried,29300.0,668,7900.0,26.96,Rented,"76/470, Bedi Street, Ichalkaranji 858942, Bhilai, Gujarat, 741806",45,Male,0,Approved,0,
c78417eb-bf8d-440f-b41b-ca74229d526f,CUST100342,2024-03-26,Car Loan,497000.0,240,7.18,Wedding,Salaried,56100.0,644,5300.0,9.45,Rented,"30/505, Swamy Nagar, Raiganj-976915, Fatehpur, Sikkim, 649328",62,Female,1,Declined,0,
b08a4b22-b8ef-46a9-a01e-21296ddd51b8,CUST116391,2023-02-01,Home Loan,460000.0,12,10.06,Business Expansion,Salaried,60000.0,638,3200.0,5.33,Jointly Owned,"H.No. 37, Datta Nagar, Chandigarh-910904, Ichalkaranji, West Bengal, 737550",27,Other,0,Declined,0,
cd5004f7-f4bb-463e-b78d-de6c5d19d359,CUST109260,2024-01-30,Home Loan,945000.0,240,8.86,Business Expansion,Self-Employed,10000.0,712,0.0,0.0,Owned,"H.No. 45, Mander Nagar, Bhagalpur 499843, Ongole, Gujarat, 226456",33,Male,1,Approved,0,
